broadcaster,sno,channelName,lang
ANGEL BROADCASTING NETWORK PVT. LTD. (Earlier TRINITY TELEVISION PRIVATE LIMITED),33,ANGEL TV,TAMIL/ ENGLISH AND OTHER INDIAN LANGUAGES
ANGEL MEDIA NETWORK PVT LTD,34,GOD TV,ENGLISH/ HINDI/ TAMIL
ARADANA BROADCASTING INTERNATIONAL PRIVATE LIMITED,35,ARADANA,TELUGU/ ENGLISH/ HINDI
ARG Outlier Media Pvt. Ltd,36,Republic TV,English and Hindi
ARG Outlier Media Pvt. Ltd,37,REPUBLIC TV BHARAT,Hindi
ARPAN MEDIA PRIVATE LIMITED,38,"IND 24 (earlier Live India Kannada, NEWS SUPER FAST)","HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
ASHIRWAD TELENETWORK PRIVATE LIMITED,39,B4U Bhojpuri,HINDI/ ENGLISH/ OTHER NORTH INDIAN LANGUAGES
ASHIRWAD TELENETWORK PRIVATE LIMITED,40,MOVIES HOUSE (Earleir ASHIRWAD CLASSIC),HINDI ENGLISH AND ALL OTHER INDIAN SCHEDULED LANGUAGES
ASHIRWAD TELENETWORK PRIVATE LIMITED,41,Studio One + (earlier ASHIRWAD Gold),HINDI ENGLISH AND ALL OTHER INDIAN SCHEDULED LANGUAGES
ASHOKA PRODUCTIONS AND COMMUNICATION PVT LTD,42,"News 1 India (earlier High News (earlier News1 India, CEE NEWS)","HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGES"
ASHOKA PRODUCTIONS AND COMMUNICATION PVT LTD,43,SUPER TV (earlier CEE VANDANA/Adhyatm),"HINDI,ENGLISH & ALL OTHER INDIAN LANGUAGES."
ASIANET NEWS NETWORK PRIVATE LIMITED,44,ASIANET NEWS,MALAYALAM
ASIANET NEWS NETWORK PRIVATE LIMITED,45,SUVARNA NEWS,KANNADA/ ENGLISH
Asnani Builders & Developers Ltd,46,Anaadi TV,All Indian Languages
ASPIRATION MEDIA PVT. LTD.,47,TOLLY WOOD,ENGLISH/ REGIONAL LANGUAGES
ASSOCIATED BROADCASTING COMPANY PRIVATE LIMITED,48,NEWS 9,GUJARATI/ MARATHI/ HINDI/ KANNADA/ MALAYALAM/ TELUGU/ TAMIL/ ENGLISH/ OTHER INDIAN LANGUAGES
ASSOCIATED BROADCASTING COMPANY PRIVATE LIMITED,49,TV 1,MARATHI/ HINDI/ TELUGU/ MALAYALAM/ KANNADA/ TAMIL/ ENGLISH/ OTHER INDIAN LANGUAGES
ASSOCIATED BROADCASTING COMPANY PRIVATE LIMITED,50,TV 9,MARATHI/ HINDI/ KANNADA/ MALAYALAM/ TELUGU/ TAMIL/ ENGLISH/ OTHER INDIAN LANGUAGES
ASSOCIATED BROADCASTING COMPANY PRIVATE LIMITED,51,TV9 Bharatvarsh,GUJARATI/ MARATHI/ HINDI/ KANNADA/ MALAYALAM/ TELUGU/ TAMIL/ ENGLISH AND OTHER INDIAN LANGUAGES
ASSOCIATED BROADCASTING COMPANY PRIVATE LIMITED,52,TV9 GUJARAT,GUJARATI/ MARATHI/ HINDI/ KANNADA/ MALAYALAM/ TELUGU/ TAMIL/ ENGLISH/ OTHER INDIAN LANGUAGES
ASSOCIATED BROADCASTING COMPANY PRIVATE LIMITED,53,TV9 KANNADA,MARATHI/ HINDI/ KANNADA/ MALAYALAM/ TELUGU/ TAMIL/ ENGLISH/ OTHER INDIAN LANGUAGES
ASSOCIATED BROADCASTING COMPANY PRIVATE LIMITED,54,TV9 MUMBAI,MARATHI/ HINDI/ KANNADA/ MALAYALAM/ TELUGU/ TAMIL/ ENGLISH/ OTHER INDIAN LANGUAGES
AY BROADCAST FOUNDATION,55,Athmeeyayathra (earlier AY TV),MALAYALAM/ ENGLISH
B4U TELEVISION NETWORK I PVT. LTD.,56,B4U MOVIES,ENGLISH/ HINDI
B4U TELEVISION NETWORK I PVT. LTD.,57,B4U MUSIC,ENGLISH/ HINDI
B4U TELEVISION NETWORK I PVT. LTD.,58,B4U Hitz,Hindi & English
B4U TELEVISION NETWORK I PVT. LTD.,59,B4U Plus,English and Hindi
BHARAT BROADCASTING NETWORK LIMITED,60,JAI HIND,MALAYALAM
BHARAT HYDEL PROJECTS PRIVATE LIMITED,61,NETWORK 10,HINDI
Bhole Baba Real Estate Developers Pvt. Ltd.,62,AHSAS (Earlier Daati Ahsas),"Hindi, English and All Other Indian Schedules Languages"
Bhole Baba Real Estate Developers Pvt. Ltd.,63,INH 24x7 (earlier INDIAN CRIME (Earlier NAV JAGRITI & NSN News),"Hindi, English and All Other Indian Schedules Languages"
BIZZ NEWS PRIVATE LIMITED,64,BIZZ NEWS,GUJARATI
BLOOMBERG TELEVISION PRODUCTION SERVICES PVT. LTD.,65,BLOOMBERG TELEVISION ASIA-PACIFIC FEED,ENGLISH
BnB Entertainment Pvt. Ltd,66,BNB,"English, Hindi, Punjabi & all Indian Languages"
Box Cinemedia Services Pvt. Ltd.,67,Box Cinema,HINDI AND OTHER INDIAN SCHEDULED LANGUAGES
Business Broadcast News Private Limited,68,BTVi ,English 
BKR international Media Private Limited,69,JEHOVAH,"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGES"
BPL MEDIA LIMITED,70,LIVING INDIA NEWS (Earlier FW News (REPORTER 24*7),HINDI AND OTHER INDIAN SCHEDULED LANGUAGES
BRAHMAPUTRA TELE-PRODUCTIONS PRIVATE LIMITED,71,DY 365,ASSAMESE/ HINDI/ ENGLISH
BRAHMAPUTRA TELE-PRODUCTIONS PRIVATE LIMITED,72,Jonack (earlier DHOOM /DY 365 ENTERTAINMENT),ASSAMESE
BRAHMAPUTRA TELE-PRODUCTIONS PRIVATE LIMITED,73,NEWS 11 (Earlier DY-365 UP),HINDI/ BHOJPURI
BRAND VALUE COMMUNICATIONS PRIVATE LIMITED,74,DHOOM MUSIC BANGLA,BENGALI
BRAND VALUE COMMUNICATIONS PRIVATE LIMITED,75,NEWS TIME ASSAM,ASSAMI
BRAND VALUE COMMUNICATIONS PRIVATE LIMITED,76,NEWS TIME BANGLA,BENGALI
BRAND VALUE COMMUNICATIONS PRIVATE LIMITED,77,RUPASI BANGLA,BENGALI & Aasam
CABSAT CHANNEL PRIVATE LIMITED,78,AUSTRALIA NETWORK,ENGLISH
CABSAT CHANNEL PRIVATE LIMITED,79,DW TV,GERMAN/ ENGLISH
CALCUTTA TELEVISION NETWORK PRIVATE LIMITED,80,CALCUTTA NEWS (Earlier UTTAR BANGLA AKD & C BANGLA),BENGALI
CALCUTTA TELEVISION NETWORK PRIVATE LIMITED,81,CTVN-AKD-PLUS,BENGALI
CAPTAIN MEDIA PRIVATE LIMITED,82,CAPTAIN NEWS,TAMIL/ ENGLISH
CAPTAIN MEDIA PRIVATE LIMITED,83,CAPTAIN TV,TAMIL/ ENGLISH
CATVISION LTD. (Earlier CATVISION PRODUCTS LTDatvision Ltd.,84,Euro News,"French, English, German, Spanish, Italian, Portuguese, Russian, Arabic"
CATVISION LTD. (Earlier CATVISION PRODUCTS LTDatvision Ltd.,85,FRANCE 24,FRENCH
CATVISION LTD. (Earlier CATVISION PRODUCTS LTDatvision Ltd.,86,TV 5 MONDE,FRENCH
Cauvery Power Trading Chennai Pvt. Ltd,87,Cauvery News,Tamil
CHANNEL BHARAT ENTERTAINMENT PRIVATE LIMITED,88,IMAYAM TV,TAMIL ENGLISH/ OTHER REGIONAL LANGUAGES
CHANNEL NO 2 NEWS MEDIA PVT LTD,89,CHANNEL 2,PUNJABI/ HINDI/ ENGLISH / ALL OTHER SCHEDULED INDIAN LANGUAGES
CHARHDIKALA PUBLICATIONS PRIVATE LIMITED,90,CHARDIKALA TIME TV,PUNJABI/ ENGLISH/ OTHER INDIAN LANGUAGES
Chennai Murasu Private Limited,91,Malai Murasu Seithikal,Tamil
CHRISTU KRUPA BROADCASTING PVT LTD,92,CALVARY TV,ALL INDIAN LANGUAGES
Cinema 24x7 Pvt. Ltd,93,Naaptol,"Hindi, English and all scheduled Indian Languages"
Cinema 24x7 Pvt. Ltd,94,Tamil Naaptol,"Hindi, English and all scheduled Indian Languages"
Cinema 24x7 Pvt. Ltd,95,Malayalam Naaptol,"Hindi, English and all scheduled Indian Languages"
Cinema 24x7 Pvt. Ltd,96,Kannada Naaptol,"Hindi, English and all scheduled Indian Languages"
Cinema 24x7 Pvt. Ltd,97,Bangla Naaptol,"Hindi, English and all scheduled Indian Languages"
Cinema 24x7 Pvt. Ltd,98,NT6,"Hindi, English and all scheduled Indian Languages"
Cinema 24x7 Pvt. Ltd,99,NT7,"Hindi, English and all scheduled Indian Languages"
Cinema 24x7 Pvt. Ltd,100,NT8,"Hindi, English and all scheduled Indian Languages"
Cinema 24x7 Pvt. Ltd,101,NT9,"Hindi, English and all scheduled Indian Languages"
CITY NETWORK BROADCAST CONVERGENCE PVT LTD,102,WOW CINEMA (Earlier TV PUNJABI),ALL INDIAN LANGUAGES
City Pulse Media India Pvt. Ltd. ( transferred from ANOLI HOLDINGS PRIVATE LIMITED ),103,Paras-CITY Pulse,HINDI
Cobol Communications Pvt. Ltd.,104,Mango,English and All Indian Languages
COMSAT SYSTEM PRIVATE LIMITED,105,TV 7/ TV3 HEALTH PLANET,ENGLISH/ TELUGU/ HINDI
COXSWAIN TECHNOLOGIES LIMITED,106,"KAVASAM TV (Earlier Archana, SPACETOON KIDS TV)",HINDI/ MARATHI
COXSWAIN TECHNOLOGIES LIMITED,107,"Music Zone (earlier 7 S MUSIC, NILCHAKARA)",South Indian languages and all other scheduled languages
COXSWAIN TECHNOLOGIES LIMITED,108,RAKSHANA TV,TELUGU/ HINDI
COXSWAIN TECHNOLOGIES LIMITED,109,SHOPPING ZONE,HINDI/ MARATHI
COXSWAIN TECHNOLOGIES LIMITED,110,"SWARA SAGAR (Earlier LAKSHYYA ENTERTAINMENT, SUPER STAR-JOSH)","TAMIL, TELUGU, KANNADA, MALAYALAM AND ALL OTHER INDIAN SCHEDULE LANGUAGES"
CREATIVE CHANNEL ADVERTISING AND MARKETING PRIVATE,111,MANORANJAN MOVIES (Earlier Manoranjan Music),Hindi
CREATIVE CHANNEL ADVERTISING AND MARKETING PRIVATE,112,MANORANJAN TV,"HINDI, ENGLISH/ OTHER INDIAN SCHEDULED LANGUAGES"
CREATIVE CHANNEL ADVERTISING AND MARKETING PRIVATE,113,MANORANJAN GRAND,"HINDI, ENGLISH/ OTHER INDIAN SCHEDULED LANGUAGES"
CSL INFOMEDIA PRIVATE LIMITED,114,JAN TV,"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGES"
DAKSHIN MEDIA GAMING SOLUTIONS PRIVATE LIMITED,115,TEN CRICKET (Earlier known as PLAY TV),HINDI/ ENGLISH/ MARATHI/ TAMIL/ TELUGU/ MALAYALAM
DERA TELEVISIONS PRIVATE LIMITED,116,MUNSIF TV,URDU/ HINDI/ ENGLISH/ REGIONAL LANGUAGES
DEVBHUMI BROADCAST PRIVATE LIMITED,117,KHABAR FAST,"HINDI, ENGLISH, AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
DHARM MEDIA VENTURES PRIVATE LIMITED,118,Naaptol Malayalam (earlier DHARM SANGEET),ALL INDIAN SCHEDULED LANGUAGES
DIKSAT TRANSWORLD LIMITED,119,AASEERVATHAM,KANNADA
DIKSAT TRANSWORLD LIMITED,120,CUSINE TV,ENGLISH
DIKSAT TRANSWORLD LIMITED,121,WIN TV,TAMIL
DIKSAT TRANSWORLD LIMITED,122,WIN TV - U.P.,HINDI
DILIP BUILDCON PRIVATE LIMITED,123,DNN,HINDI
DIRECT NEWS PRIVATE LIMITED (Earlier INX NEWS PRIVATE LIMITED),124,IMN NEWS (NEWS X),ENGLISH/HINDI
DISCOVERY COMMUNICATION LIMITED,125,DSPORT HD,ENGLISH/ HINDI OTHER LOCAL LANGUAGES IN INDIA
DISHA MEDIA PVT. LTD. (earlier DHALIWAL ENTERTAINMENT PVT LTD),126,DISHA NEWS CHANNEL (Earlier known as DHALIWAL TV),HINDI/ PUNJABI/ ENGLISH OTHER INDIAN LANGUAGES
DISNEY BROADCASTING INDIA LTD. (Earlier UTV ENTERTAINMENT TELEVISION LIMITED),127,UTV MOVIES INTERNATIONAL,HINDI
DIVYA BROADCASTING NETWORK PRIVATE LIMITED,128,DIVYA,HINDI/ PUNJABI/ ENGLISH/ URDU
E24 Glamour Ltd. (Earlier known as B.A.G. GLAMOUR LIMITED),129,DARSHAN 24 (Earlier LIFE 24),ENGLISH/HINDI
E24 Glamour Ltd. (Earlier known as B.A.G. GLAMOUR LIMITED),130,E 24,ENGLISH/HINDI
EASTERN MEDIA LIMITED,131,ARRA (Earlier known as MANJARI),ALL INDIAN LANGUAGE
EASTERN MEDIA LIMITED,132,KANAK NEWS (Earlier KANAK TV & KANAK SAMBAD),ORIYA
EASWARI MEDIA PRIVATE LIMITED,133,Tehzeeb TV,ALL INDIAN LANGUAGES
ENTER 10 TELEVISION PRIVATE LIMITED,134,BHOJPURI CINEMA,ALL INDIAN LANGUAGES
ENTER 10 TELEVISION PRIVATE LIMITED,135,Dangal (earlier ENTER 10 MOVIES ),HINDI/ ENGLISH
ENTER 10 TELEVISION PRIVATE LIMITED,136,ENTERR 10,HINDI/ ENGLISH
ENTER 10 TELEVISION PRIVATE LIMITED,137,Enter 10 Bangla,All Indian Languages
ENTER 10 TELEVISION PRIVATE LIMITED,138,"FAKT MARATHI (Earlier AAPLA TALKIES, It's CINEMA, (LUCK TV)",ALL INDIAN LANGUAGES
ENTER 10 TELEVISION PRIVATE LIMITED,139,Shaandaar Cinema,all Indian Languages
ESSENCE TELEVISION PVT.LTD.,140,GRACE TV (Earlier PHENO TV & NEWS MAKERS),ALL INDIAN LANGUAGES
EXCLUSIVE VISION BROADCAST PVT. LTD.,141,Lord Buddha TV (earlier LORD BUDDHA SHARNAM TV (Earlier SHARNAM),"HINDI, ENGLISH & ALL OTHER INDIAN SCHEDULE LANGUAGE"
EXCLUSIVE VISION MEDIA PVT. LTD.,142,Zingaat (earlier E AWAZ INDIA (EARLIER:AINDI (EARLIER: TULSI TV (Earlier VEDAS OM TV))),"ENGLISH, HINDI & ALL INDIAN SCHEDULED LANGUAGE"
EXPRESS BROADCASTING PRIVATE LIMITED,143,"Sanskriti TV (earlier Zonet Zawlbuk , earlier EN TV)",PUNJABI/ HINDI/ ENGLISH/ ALL OTHER INDIAN SCHEDULE LANGUAGES
F7 BROADCAST PVT. LTD. (Earlier R & AAR Communication (P) Ltd.),144,"NEWS WORLD INDIA (earlier NAMOSTUTE INDIA, RR News )","Hindi, English and other Indian scheduled languages"
FUTURE VISION BROADCAT PRIVATE LIMITED,145,"India Watch (earlier INDIA NOW , Earlier INE LIVE)",HINDI/ENGLISH ALL INDIAN SCHEDULED LANGUAGE
GLOBAL TELECASTING PVT. LTD.,146,FUN TV,"ENGLISH, HINDI AND ALL OTHER INDIAN LANGUAGES"
GN INFOMEDIA PVT LTD,147,"MANGALAM (Earlier REPORTER 24X7, GN News, GNN NEWS)",HINDI/ ENGLISH/ ALL OTHER INDIAN SCHEDULE LANGUAGE
GN INFOMEDIA PVT LTD,148,WHISTLE TV (Earlier known as GN Bhakti GNN BHAKTI /GNN ENTERTAINMENT),HINDI/ ENGLISH/ ALL OTHER INDIAN SCHEDULE LANGUAGE
G-NEXT MEDIA PRIVATE LIMITED,149,PTC CHAK DE,HINDI/PUNJABI
G-NEXT MEDIA PRIVATE LIMITED,150,PTC NEWS,HINDI/PUNJABI
G-NEXT MEDIA PRIVATE LIMITED,151,PTC PUNJABI,HINDI/ PUNJABI
G-NEXT MEDIA PRIVATE LIMITED,152,PTC Music,HINDI/ PUNJABI/ENGLISH
G-NEXT MEDIA PRIVATE LIMITED,153,PTC Punjabi Gold,HINDI/ PUNJABI/ENGLISH
G-NEXT MEDIA PRIVATE LIMITED,154,PTC Simran,HINDI/ PUNJABI/ENGLISH
God Media Pvt. Ltd.,155,Peace of Mind,"Hindi, English and All other Indian Scheduled & World Languages"
Gokann International Media Pvt. Ltd,156,7S Music ( Earlier MAAS TV),All Indian Languages
GOOD NEWS CHANNEL PRIVATE LIMITED,157,Goodnews TV,English
GOOD NEWS CHANNEL PRIVATE LIMITED,158,Nambikkai Television,Tamil
GOOD NEWS CHANNEL PRIVATE LIMITED,159,SUBHA VAARTHA,TELUGU
GOOD NEWS CHANNEL PRIVATE LIMITED,160,SUBHSANDESH,HINDI
GOODNESS MEDIA PVT LTD,161,GOODNESS TV,MALYALAM/ ENGLISH
Graphisads Private Limited,162,Awakening ,"Hindi, English and other Indian scheduled languages"
Graphisads Private Limited,163,P Plus,"Hindi, English and other Indian scheduled languages"
Graphisads Private Limited,164,PTunes,"Hindi, English and other Indian scheduled languages"
GUJARAT NEWS BROADCASTING PVT.LTD.,165,V TV,"GUJARATI,HINDI & ENGLISH."
GULISTAN TV NETWORK PRIVATE LIMITED,166,GULISTAN NEWS,"HINDI, ENGLISH, PUNJABI AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
Hare Krsna Content Broadcast Pvt Limited,167,Hare Krsna,"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
HARI BHOOMI COMMUNICATIONS PVT. LIMITED (EARLIER KNOWN AS LEGEND TRAVEL PVT LTD),168,JANTA TV,HINDI/ ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGES
HBN Network Private Limited (Earlier TELEBRANDS INDIA PRIVATE LIMITED),169,HBN,"Hindi, Malayalam, Tamil & English"
HHP BROADCASTING SERVICES PRIVATE LIMITED,170,DABANGG,HINDI
HINDUSTAN BROADCASTING COMPANY PRIVATE LIMITED,171,HBC NEWS,HINDI/ ENGLISH OTHER NORTH INDIAN LANGUAGES
HORIZON SATELLITE SERVICE PVT LTD,172,Malai Murasu (Earlier Jai Tamil TV Earlier known as HORIZON NEWS),ALL INDIAN LANGUAGE
HORIZON SATELLITE SERVICE PVT LTD,173,Y TV (Earlier known as Voice 24 Tripura/Horizon News 24x7),English and any other Indian Languages
HYDERABAD MEDIA HOUSE LIMITED,174,HM TV,TELUGU/ HINDI/ ENGLISH/ NORTH INDIAN LANGUAGES
IBC Tamil Private Limited,175,IBC Tamil,All Indian Languages
IMAGE BROADCASTING INDIA PRIVATE LIMITED,176,CVR Health,"TELUGU, ENGLISH, HINDI, KANNADA, TAMIL, MALAYALAM"
IMAGE BROADCASTING INDIA PRIVATE LIMITED,177,CVR News,"TELUGU, ENGLISH, HINDI, KANNADA, TAMIL, MALAYALAM"
IMAGE BROADCASTING INDIA PRIVATE LIMITED,178,CVR News English,"Hindi,English & ALL OTHER INDIAN SCHEDULE LANGUAGES"
IMAGE BROADCASTING INDIA PRIVATE LIMITED,179,CVR Spiritual Om,"Hindi,English & ALL OTHER INDIAN SCHEDULE LANGUAGES"
IMPACT TELEVISION PRIVATE LIMITED,180,"RM-RUJUMARGAM FROM DARKNESS TO LIGHT (earlier MU ODIA, KATHA TV)",ALL INDIAN LANGUAGES
INDEPENDENT NEWS SERVICE PVT. LTD,181,INDIA TV,ENGLISH/ HINDI
INDEPENDENT NEWS SERVICE PVT. LTD,182,INDIA TV WIZ,ENGLISH/ HINDI
INDIRA TELEVISION LIMITED,183,Sakshi,HINDI/ ENGLISH
INDO ASIAN NEWS CHANNEL PVT LTD,184,REPORTER,MALAYALAM
INFORMATION TV PRIVATE LIMITED,185,Free TV,HINDI/ ENGLISH/ NORTH INDIAN LANGUAGES
INFORMATION TV PRIVATE LIMITED,186,India News,HINDI/ ENGLISH AND NORTH INDIAN REGIONAL LANGUAGES
INFORMATION TV PRIVATE LIMITED,187,India News Haryana,HINDI
INFORMATION TV PRIVATE LIMITED,188,India News Madhya Pradesh Chattisgarh,HINDI/ OTHER NORTH INDIAN REGIONAL LANGUAGES
INFORMATION TV PRIVATE LIMITED,189,India News Punjab,HINDI/ ENGLISH/ ALL OTHER NORTH INDIAN LANGUAGES
INFORMATION TV PRIVATE LIMITED,190,India News Rajasthan,HINDI/ OTHER NORTH INDIAN REGIONAL LANGUAGES
INFORMATION TV PRIVATE LIMITED,191,India News Uttar Pradesh-Uttarakhand,ENGLISH/ HINDI
INFORMATION TV PRIVATE LIMITED,192,NewsX Kannada,HINDI/ ENGLISH AND OTHER NORTH INDIAN LANGUAGES
J.S.D. DATA INFOTECH PRIVATE LIMITED,193,EXPRESS TV,ALL INDIAN LANGUAGE
JAIN STUDIOS LIMITED,194,JAIN TV,HINDI/ ENGLISH
JAINSON MEDIA PRIVATE LIMITED,195,PBN (earlier SAMACHAR 24X7),"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
Janam Multi Media Ltd.,196,Janam,English and all other schedule language
JANAPRIYA COMMUNICATION LTD.,197,TWENTY FOUR (Earlier JANAPRIYA),MALAYALAM /ENGLISH & ALL OTHER SPECIFIED LANGUAGE
JANVANI BROADCASTING CORPORATION LIMITED (Earlier PEARLS BROADCASTING CORPORATION PRIVATE LIMITED),198,P7 GUJARATI,GUJRATI/ENGLISH/ALL OTHER INDIAN SCHEDULE LANGUAGES
JANVANI BROADCASTING CORPORATION LIMITED (Earlier PEARLS BROADCASTING CORPORATION PRIVATE LIMITED),199,SNEHA TV (EARLIER P7 NEWS BEFORE THAT PBC TV),"PUNJABI, ENGLISH/ OTHER INDIAN LANGUAGES"
JEEVAN TELECASTING CORPORATION LIMITED,200,JEEVAN TV,MALAYALAM
JOSH MEDIA VISION PVT LTD,201,MBC TV (VON JANTA KI AWAAZ),HINDI/ ENGLISH/ BENGALI
JSK MULTI PRODUCTS PVT. LTD. (earlier KANSAN NEWS PRIVATE LIMITED),202,DAY N NIGHT NEWS,PUNJABI/ HINDI/ ENGLISH
K.K. MEDIA PRODUCTION PVT.LTD.,203,TOP(EARLIER: OM BANGLA ),"BENGALI,HINDI,ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
KALAIGNAR TV PRIVATE LIMITED,204,KALAIGNAR CHITHIRAM,TAMIL
KALAIGNAR TV PRIVATE LIMITED,205,KALAIGNAR ISAI ARUVI,TAMIL
KALAIGNAR TV PRIVATE LIMITED,206,KALAIGNAR MURASU,TAMIL
KALAIGNAR TV PRIVATE LIMITED,207,KALAIGNAR SEITHIGAL,TAMIL
KALAIGNAR TV PRIVATE LIMITED,208,KALAIGNAR SIRIPPOLI,TAMIL
KALAIGNAR TV PRIVATE LIMITED,209,KALAIGNAR TV,TAMIL
Kalinga Media & Entertainment Pvt. Ltd.,210,Kalinga TV,"Hindi, English, Oriya and all other schedule Indian language"
KAMADHENU TELEFILMS PRIVATE LIMITED,211,"Ayush TV (earlier AYURVEDA TV, SREE TV)","HINDI, TELUGU, KANNADA, TAMIL, MALYALAM, ENGLISH"
KAMADHENU TELEFILMS PRIVATE LIMITED,212,SRI SANKARA,HINDI/ TELUGU/ KANNADA/ TAMIL/ MALAYALAM/ ENGLISH
KAMYAB TELEVISION PRIVATE LIMITED,213,ODISHA TIME (earlier KAMYAB TV),ORIYA
